Date,Close,High,Low,Open,Volume,Typical_Price,Money_Flow,Average,Daily_Return
2014-01-03,27.574289321899414,27.758299972119076,27.499321731092337,27.72422450351357,10403400,27.610637008370276,287244501.05287933,27.610637008370276,-0.004918803130242511
2014-01-06,27.444793701171875,27.662879758014604,27.3698261316714,27.587912188514128,11036300,27.49249986361929,303415476.2448616,27.492499863619294,-0.004696245085986428
2014-01-07,27.526569366455078,27.751472026293,27.45841846335951,27.58790621915721,11872300,27.57881995203586,327424024.11655533,27.57881995203586,0.0029796421927452688
2014-01-08,27.219894409179688,27.560654240740835,27.144929430060838,27.560654240740835,15339600,27.30849269332712,418901354.5185607,27.30849269332712,-0.011141052602403723
2014-01-09,27.076772689819336,27.260783288994958,26.933654201501927,27.226707829841892,14070200,27.090403393438738,381167393.8263617,27.090403393438738,-0.0052579821658707004
2014-01-10,27.34938621520996,27.458429262924337,27.192636996607504,27.233526514630814,13290000,27.33348415824727,363262004.4631062,27.33348415824727,0.010068169072938504
2014-01-13,26.940473556518555,27.34938694622064,26.92002879696044,27.260788655149813,14091900,27.06996309989988,381467213.00747913,27.06996309989988,-0.014951438232423508
2014-01-14,27.04950714111328,27.20625630905071,26.974542182370545,27.0154316871774,12801100,27.07676854417818,346612421.8108793,27.07676854417818,0.004047203712510328
2014-01-15,27.09721565246582,27.219889377132862,26.974544527589494,27.144924411872527,12844900,27.097216519062727,348061036.4657088,27.097216519062723,0.0017637478976475496
2014-01-16,27.063146591186523,27.13811417395407,26.97455090227154,27.110852762076536,11063100,27.058603889137377,299352040.6859157,27.058603889137377,-0.0012572901111408408
2014-01-17,26.770090103149414,27.09040515961129,26.770090103149414,27.069960402744723,13992700,26.876861788636706,376079863.9498568,26.876861788636706,-0.010828618433177617
2014-01-21,27.206262588500977,27.206262588500977,26.940470346747205,27.015437922583622,17579000,27.117665174583053,476701436.1039955,27.117665174583053,0.01629327670063563
2014-01-22,27.19263458251953,27.32212237774999,27.09040559695421,27.25397145390051,9841700,27.201720852407913,267711176.11314297,27.201720852407913,-0.0005009143000481719
2014-01-23,26.742834091186523,27.015440410488875,26.66104985558362,26.994995651483812,14828100,26.806441452419673,397488594.5006242,26.806441452419676,-0.016541261935029916
2014-01-24,26.470226287841797,26.74964927178471,26.45659558133343,26.633792166150755,16507500,26.55882371365331,438419782.45313203,26.55882371365331,-0.010193676646805705
2014-01-27,26.395248413085938,26.565628278339364,26.381617711890815,26.456585268568787,14601900,26.447498134438707,386183723.00926054,26.447498134438707,-0.0028325362216603533
2014-01-28,26.49066734313965,26.633788441567106,26.32028743529889,26.422516419919777,8915500,26.481581073335217,236096536.05932012,26.481581073335217,0.0036150040552906937
2014-01-29,25.829593658447266,26.286210538632464,25.775070843015097,26.286210538632464,23776100,25.963625013364943,617313744.6802663,25.963625013364943,-0.024954965313985666
2014-01-30,26.01360511779785,26.17717098603841,25.897748019295555,25.897748019295555,13662000,26.02950804104394,355615138.8567423,26.02950804104394,0.007124055522662376
2014-01-31,25.775075912475586,26.00679272405466,25.70692497957234,25.86367420508297,16185000,25.829597872034196,418052041.5588735,25.829597872034196,-0.00916940209717687
