Date,Close,High,Low,Open,Volume,Typical_Price,Money_Flow,Average,Daily_Return
2014-01-03,42.30739212036133,42.51654968054534,41.982837759951096,42.040537535702576,14214100,42.26892652028592,600814748.4519961,42.268926520285916,0.007730279432573761
2014-01-06,42.5526237487793,42.891603157356364,42.43001581452317,42.66802058448759,17550700,42.624747573552945,748094157.2391557,42.624747573552945,0.0057964250720135
2014-01-07,42.06218719482422,42.86275395928393,41.91072936135282,42.76178207030299,17851200,42.27855683848699,754722973.835199,42.27855683848699,-0.011525412788891742
2014-01-08,42.4588623046875,42.4877122009887,42.047760911866725,42.22085753839641,14687400,42.33144513918098,621738867.3372067,42.33144513918098,0.009430681957311338
2014-01-09,42.3795280456543,42.55262467863804,42.069401278324406,42.53819972994959,13242500,42.33385133420558,560606026.2932174,42.33385133420558,-0.0018684970516613664
2014-01-10,42.184791564941406,42.37952146379835,41.96120902191095,42.31461058042029,12694900,42.17517401688357,535409616.6269352,42.17517401688357,-0.004595060155061392
2014-01-13,41.615020751953125,42.314612808218776,41.49241007632722,42.19921598183535,20711600,41.80734787883304,865897066.3272384,41.80734787883304,-0.01350654564954168
2014-01-14,41.64387130737305,42.24970534332164,41.5140495317214,42.04775883048717,30272400,41.80254206080536,1265463274.2815242,41.80254206080536,0.0006932726428729996
2014-01-15,42.90602493286133,43.02142176003612,41.636657082661266,41.636657082661266,35186600,42.52136792518624,1496182364.6363583,42.52136792518624,0.030308268320501153
2014-01-16,42.545413970947266,43.14403421499249,42.365106237601,42.40116723401472,21689400,42.684851474513586,925808817.5713149,42.684851474513586,-0.008404669565133083
2014-01-17,41.91072463989258,42.7185024120173,41.8530248519593,42.70407746503398,20997900,42.160750634623064,885287225.7507516,42.160750634623064,-0.01491792585419649
2014-01-21,41.95398712158203,42.148719734344695,41.52846366377215,41.8962900981394,19548300,41.87705683989963,818625270.2234099,41.87705683989963,0.0010322532492859082
2014-01-22,41.535682678222656,42.069394691015,41.413072009208285,42.069394691015,15433500,41.67271645948198,643155869.4774152,41.67271645948198,-0.00997055279030179
2014-01-23,40.7279167175293,41.18229028074559,40.54039511097952,41.175079181083525,26234600,40.81686736975147,1070814188.6984819,40.81686736975147,-0.019447518581821033
2014-01-24,39.73260498046875,40.64856842889085,39.73260498046875,40.388924900043364,26833100,40.03792612994278,1074341675.6373677,40.03792612994278,-0.024438071408454
2014-01-27,39.73260498046875,40.24467818943064,39.44411155924329,39.725393883012835,23935000,39.80713157638089,952783694.2806766,39.80713157638089,0.0
2014-01-28,40.2014045715332,40.63414193561841,39.84078918436984,39.94897214975261,18041000,40.22544523050715,725707257.4035795,40.22544523050715,0.011798863711425467
2014-01-29,40.04995346069336,40.295172091831716,39.55951619841665,39.63885204250226,25459000,39.968213916980574,1017550758.1124084,39.968213916980574,-0.0037673089399241633
2014-01-30,40.388912200927734,40.67019168497999,40.12205765852897,40.43939812107679,17031100,40.39372051481223,687949493.4598186,40.39372051481223,0.008463399103997515
2014-01-31,39.927345275878906,40.468268480841985,39.797523486585554,40.02831716726758,18174000,40.064379081102146,728130025.4199504,40.064379081102146,-0.011428060323898204
2014-02-03,39.17005157470703,40.33123102464727,39.09071573468183,40.02831536412658,28549900,39.530666111345376,1128596564.4122994,39.530666111345376,-0.018966793207495725
2014-02-04,39.63162612915039,39.92011674829445,39.379193742213076,39.465743404105304,20709300,39.64364553988597,820992148.5791606,39.64364553988597,0.011783863842073972
2014-02-05,39.81915283203125,39.99224943904607,39.36477939726216,39.73981700178601,19491600,39.725393889446494,774311487.5355353,39.725393889446494,0.0047317438418941205
2014-02-06,40.73512649536133,40.78561244519157,39.81195169700506,39.9201346960936,20881600,40.44423021251932,844540237.6057435,40.44423021251932,0.023003343822856293
2014-02-07,40.83609390258789,41.05967647815227,40.576450331294446,40.85773270104742,23388500,40.8240735706782,954813844.7078072,40.8240735706782,0.0024786324706285168
2014-02-10,40.92264938354492,41.05246843628063,40.67021687517248,40.94428543378787,14715200,40.88177823166601,601583543.0346117,40.88177823166601,0.002119582768212558
2014-02-11,41.420291900634766,41.5212637890961,40.807246719960844,40.82888276712324,18774100,41.24960080323057,774424130.439931,41.24960080323057,0.012160564493899795
2014-02-12,41.485206604003906,41.62223950074887,41.22556300909523,41.35538480654957,13437900,41.44433637128267,556924847.7236594,41.444336371282674,0.0015672198429905748
2014-02-13,41.85303497314453,41.903520924156346,41.08131800621761,41.16065385817274,16605500,41.61262463450616,690998438.3682921,41.61262463450616,0.008866494812276526
2014-02-14,41.93959045410156,41.99728751265929,41.651096907477815,41.75206882341262,13067300,41.86265829141289,547031914.6913797,41.86265829141289,0.0020680813473281656
2014-02-18,42.184791564941406,42.30018838524936,41.75926527419133,41.84581220160299,14983800,42.08141507479403,630539507.1976988,42.08141507479403,0.0058465308837050145
2014-02-19,41.29767608642578,42.22085341905026,41.26882894421664,42.091031649638644,18669900,41.595786149897556,776589167.8399724,41.595786149897556,-0.021029272531783327
2014-02-20,41.52847671508789,41.80975632705169,41.304894144699404,41.49241296891608,12457000,41.54770906227966,517559811.7888177,41.54770906227966,0.005588707417315764
2014-02-21,41.55009841918945,41.715981139464425,41.37700185165922,41.53567347595555,16790100,41.5476938034377,697589933.7290994,41.5476938034377,0.0005206476570258634
2014-02-24,41.85303497314453,41.99728172658315,41.52848321700512,41.557330366670456,16151400,41.7929333055776,675014382.991706,41.7929333055776,0.0072908745220967575
2014-02-25,41.13180923461914,41.816979337904385,41.05247337248487,41.75928227989295,17991800,41.33375398166947,743668634.8874007,41.33375398166947,-0.017232340235019405
2014-02-26,40.92984390258789,41.38422003256886,40.54759249632915,41.37700618455819,23661700,40.95388547716197,969038551.9949633,40.95388547716197,-0.004910198111617747
2014-02-27,40.886566162109375,41.03081284802381,40.48988983930222,40.951477033207034,16277500,40.802422949811806,664161439.5655617,40.802422949811806,-0.0010573639269555457
2014-02-28,40.98032760620117,41.434703711485994,40.67019818924387,40.80001993361096,18599000,41.02840983564368,763087394.5331367,41.02840983564368,0.0022932090633398516
2014-03-03,40.54039001464844,40.691847850014106,40.165349599973204,40.60530090855911,19151000,40.46586248821192,774961732.5117464,40.46586248821192,-0.010735336129576556
2014-03-04,41.29767608642578,41.369800820141826,40.850513742495394,41.07409629009922,17157000,41.17266354968766,706399388.5219913,41.17266354968766,0.018679792461387512
2014-03-05,41.94677734375,42.04053810497741,41.36979333480589,41.45634024832832,17761500,41.78570292784443,742176762.5529089,41.78570292784443,0.01571762188181758
2014-03-06,42.48049545288086,42.61752831517066,42.11988005090828,42.19921312826942,19420600,42.405967939653266,823549340.9688302,42.405967939653266,0.012723697574120951
2014-03-07,42.84111022949219,43.12960089609279,42.603102747051494,42.80504648879962,18602200,42.85793795754549,797251933.4738526,42.85793795754549,0.008488949405293988
2014-03-10,42.69685745239258,42.89880116544008,42.45885000377796,42.65358262047808,16945200,42.68483620720354,723303086.4983054,42.68483620720354,-0.0033671577680147724
2014-03-11,41.96842956542969,42.87718213725751,41.925157467623116,42.85554333707639,19420000,42.256923056770106,820629445.7624755,42.256923056770106,-0.017060456680567104
2014-03-12,41.773681640625,41.80253152949583,41.41306628357012,41.6150127543891,17932100,41.66309315123032,747106752.6971773,41.66309315123032,-0.004640343391955404
2014-03-13,41.41307067871094,42.076604436776265,41.24718792701389,41.83138585790299,17192500,41.578954347500364,714846172.6194,41.578954347500364,-0.008632491744835047
2014-03-14,40.965904235839844,41.49240232987411,40.836082486485985,41.189486748899675,18635800,41.09812968406664,765896525.1663291,41.09812968406664,-0.010797712788319425
2014-03-17,41.52847671508789,41.61502365308962,41.1462224656316,41.26161930005976,13581400,41.429907611269705,562676147.2316984,41.429907611269705,0.013732700150088872
2014-03-18,41.87466049194336,41.94678247014674,41.55731718478338,41.70156389246727,12554800,41.792920048957825,524701752.6306557,41.792920048957825,0.00833605767027068
2014-03-19,42.047752380371094,42.502128525450686,41.75204788147609,41.82417260759498,21450700,42.10064292909929,903088261.2792301,42.10064292909929,0.004133571147664217
2014-03-20,43.353187561035156,43.627256058990824,41.92515078423045,42.09103355236016,33736500,42.96853146808547,1449607861.8730655,42.96853146808547,0.03104649135237647
2014-03-21,43.396446228027344,44.139315657065566,43.27383834001006,43.96621909314385,35144100,43.60320007503432,1532395223.7570138,43.60320007503432,0.0009978197550362111
2014-03-24,44.045570373535156,44.132117310255175,43.526283250660015,43.54070819865961,25810500,43.901323644816785,1133115113.9345436,43.901323644816785,0.01495800236952527
2014-03-25,43.944583892822266,44.34126020158543,43.67772932165819,44.07440563042135,24053500,43.9878578053553,1058061937.7211137,43.9878578053553,-0.0022927726864804265
2014-03-26,43.201725006103516,44.283571180700996,43.19451115755769,44.16817436546168,22745200,43.559935781454065,990779451.336329,43.559935781454065,-0.01690444694004911
2014-03-27,43.21614456176758,43.67052069771089,42.567038547411194,43.23056950670131,24632600,43.15123460229656,1062927101.4645302,43.15123460229656,0.0003337726829664156
2014-03-28,43.30270767211914,43.699384151452136,43.043064085274914,43.425315615196816,14708700,43.348385302948735,637598394.905482,43.348385302948735,0.0020030271378752573
2014-03-31,43.785926818847656,44.009509385959475,43.70659098047645,43.87247650685853,15216700,43.834009061761186,667008965.6901015,43.83400906176119,0.011159097726344713
2014-04-01,43.75707244873047,44.20423753723196,43.54070375338178,43.95901894882952,14584400,43.8340045797814,639292656.3933638,43.8340045797814,-0.0006589873097025967
2014-04-02,43.89497375488281,44.105449658856244,43.69175716821514,43.81513787622956,14012200,43.897393527318066,615099057.5834862,43.897393527318066,0.0031515203928216273
2014-04-03,44.02560806274414,44.12721634288245,43.74981218192732,44.01835151499911,11925200,43.96754552918463,524321773.9446326,43.96754552918463,0.0029760652914572194
2014-04-04,43.4087028503418,44.3159236715598,43.40144353334584,44.28689194081245,16966900,43.708690018415815,741600972.6734593,43.708690018415815,-0.014012417762024887
2014-04-07,42.820823669433594,43.546600341796875,42.7046995126002,43.321608576661674,18685700,43.024041174610225,803934326.1764143,43.024041174610225,-0.01354288753881927
2014-04-08,42.71195983886719,42.835343323763325,42.27649490438106,42.675671555763095,16956500,42.60793268900386,722481410.641094,42.60793268900386,-0.0025423105217874387
2014-04-09,43.01677703857422,43.147417040848886,42.45792875520321,42.89339358370687,15308400,42.87404094487544,656332968.4005312,42.87404094487544,0.0071365772223275226
2014-04-10,41.65958023071289,43.10387419344523,41.64506436568315,43.07484246338574,29977200,42.13617292994709,1263124483.1556098,42.13617292994709,-0.03155040663888642
2014-04-11,40.13543701171875,40.67976934759726,39.591104675840235,40.04834461319107,47241300,40.13543701171875,1896050220.501709,40.13543701171875,-0.036585659542255566
2014-04-14,39.8886833190918,40.599944091367966,39.54031086544335,40.53462408327025,31081500,40.0096460919677,1243559815.0074942,40.0096460919677,-0.0061480255604269285
2014-04-15,39.77256774902344,40.38222036659862,39.4459676380691,39.9830436837072,26691400,39.86691858456371,1064103870.7080239,39.86691858456371,-0.0029109902961570455
2014-04-16,40.106414794921875,40.171734801453425,39.69272234309473,39.91771409195188,27049400,39.99029064649001,1081713367.8131669,39.99029064649001,0.008393902249538288
2014-04-17,40.077396392822266,40.33141716924657,39.924981158348864,40.164488834936485,17955400,40.1112649068059,720213805.9076626,40.1112649068059,-0.0007235351812918678
2014-04-21,39.93948745727539,40.21528335461147,39.910458495938556,40.10641575158934,12384800,40.021743102608475,495661283.9771854,40.021743102608475,-0.0034410652377502293
2014-04-22,40.50559997558594,40.70156002336035,39.87417223210665,39.94675156570004,16257600,40.36044407701765,656163955.6265221,40.36044407701765,0.014174255964504612
2014-04-23,40.67978286743164,40.73058701417555,40.32415384022426,40.49833869516957,11379000,40.57817457394382,461739048.4769067,40.57817457394382,0.004300217548948604
2014-04-24,40.78138732910156,40.832191471071916,40.360438328687465,40.69429490981211,15360600,40.65800570962031,624531362.5031937,40.65800570962031,0.002497664798286392
2014-04-25,40.42576217651367,40.897515363723514,40.382214578422065,40.868486400280794,15937700,40.56849737288642,646568540.5798519,40.56849737288642,-0.008720280889858767
2014-04-28,40.27333450317383,40.42574688591861,39.685454610078814,40.37494275833702,21394100,40.12817866639042,858506267.2066232,40.12817866639042,-0.003770557810989117
2014-04-29,40.716060638427734,40.86847580793603,40.33139997847961,40.447524108008345,13453400,40.63864547494779,546727953.0326626,40.63864547494779,0.010993033994218138
2014-04-30,40.62898254394531,40.89751916894979,40.44028180522777,40.81768605128146,14388100,40.655594506040956,584956759.3123679,40.655594506040956,-0.0021386669809662084
2014-05-01,40.440277099609375,40.7813902532091,40.28060534561485,40.585430219293535,12744600,40.50075756614444,516165954.8774845,40.50075756614444,-0.004644601772437418
2014-05-02,40.33867263793945,40.912034159807924,40.237061568448475,40.52011682338836,15153800,40.49592278873195,613667114.7558863,40.49592278873195,-0.0025124571085320957
2014-05-05,39.35160827636719,39.729012441928774,38.9742041108056,39.104844120754535,25232300,39.35160827636719,992931585.5117798,39.35160827636719,-0.024469430871751352
2014-05-06,38.712928771972656,39.235488874954974,38.698412905932216,39.22097300891454,25327400,38.88227685095328,984786978.7148342,38.88227685095328,-0.01623007374715335
2014-05-07,39.22822952270508,39.27903366949221,38.640352175991644,38.86534117787225,18502600,39.04920512272964,722511822.7038174,39.04920512272964,0.013310818041374572
2014-05-08,39.45321273803711,39.57659341958918,39.23548033207491,39.33708860361609,16090800,39.42176216323373,634327690.6161613,39.42176216323373,0.005735237559008732
2014-05-09,39.19919204711914,39.4169272370106,38.95968721430366,39.35160723376675,12366500,39.1919354994778,484667070.3542922,39.1919354994778,-0.00643852992669125
2014-05-12,39.66370391845703,39.69999220536548,39.213720301212035,39.38790795443894,12825500,39.525805475011516,506938218.1197602,39.525805475011516,0.01185003687778896
2014-05-13,39.64192199707031,39.79433720598371,39.55482956956148,39.72901719319749,12310700,39.6636962575385,488287865.51767915,39.6636962575385,-0.0005491650863342912
2014-05-14,39.45321273803711,39.699976869759006,39.40966514939757,39.656429281119465,10325800,39.52095158573123,408085441.88394356,39.52095158573123,-0.004760345854248671
2014-05-15,38.83629608154297,39.33708359699795,38.72017196190161,39.33708359699795,19763000,38.96451721348084,770055753.6900219,38.96451721348084,-0.015636664638450815
2014-05-16,38.691158294677734,38.83631142511393,38.44439409687031,38.77099140897024,19992400,38.65728793888732,772851963.3894109,38.65728793888732,-0.0037371686156809636
2014-05-19,39.06856155395508,39.1266222509631,38.509713156083414,38.524229022490026,12068900,38.90163232033387,469499910.3108774,38.90163232033387,0.009754250736123904
2014-05-20,38.98873519897461,39.220983580987784,38.763743367628486,38.98873519897461,16888200,38.99115404919696,658490407.8136481,38.99115404919696,-0.0020432376265050456
2014-05-21,39.279029846191406,39.627402291087215,39.17742156250739,39.2282257043494,13210200,39.36128456659534,519970441.38163775,39.36128456659534,0.007445603088566788
2014-05-22,39.59112548828125,39.627413776025854,39.20646465467444,39.31532951790826,11800900,39.47500130632718,465840542.9158364,39.47500130632718,0.007945604647363824
2014-05-23,39.57660675048828,39.6201543537963,39.30807011830219,39.59112261825762,10876500,39.50161040752892,429639265.59748834,39.50161040752892,-0.0003667169754308919
2014-05-27,40.01931381225586,40.229789651443284,39.69271384948529,39.73626143406053,14503700,39.98060577106148,579866711.9217443,39.98060577106148,0.011186079305854468
2014-05-28,40.24431228637695,40.35317711321155,39.91771226863724,39.98303227218518,11374900,40.17173388940858,456949455.8186336,40.17173388940858,0.0056222471773663685
